epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,20558.1,1.42393,0.91944,0.00167,0.6305,0.51368,0.53219,0.35591,1.30404,0.99724,0.00246,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,20836,1.42629,0.92485,0.00167,0.61645,0.51222,0.53047,0.35371,1.3065,0.99588,0.00246,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,21113.4,1.41337,0.91336,0.00166,0.62069,0.51434,0.5313,0.35565,1.30536,0.98832,0.00245,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,21391.1,1.42877,0.92434,0.00165,0.63276,0.5036,0.53047,0.35513,1.30721,0.98843,0.00246,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,21667.8,1.41661,0.92274,0.00168,0.62722,0.50213,0.53133,0.35624,1.30545,0.98701,0.00246,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,21946.4,1.43115,0.92854,0.00166,0.63474,0.49894,0.52862,0.35452,1.30824,0.99021,0.00247,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,22222.1,1.41192,0.90494,0.00166,0.61563,0.51608,0.52838,0.35329,1.30612,0.99106,0.00248,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,22501.7,1.42502,0.91593,0.00169,0.62698,0.51071,0.53037,0.35482,1.30589,0.99209,0.00248,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,22780.5,1.40621,0.90993,0.00164,0.63067,0.50944,0.53116,0.35471,1.30484,0.99236,0.00247,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,23057.9,1.41356,0.90402,0.00165,0.63173,0.50502,0.52994,0.35483,1.30369,0.99353,0.00247,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,23335.7,1.41279,0.89975,0.00163,0.61868,0.51016,0.52932,0.35445,1.30078,0.99623,0.00245,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,23612.9,1.40907,0.89957,0.00163,0.62309,0.51217,0.53079,0.35511,1.30258,0.9934,0.00245,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,23892.8,1.41459,0.89802,0.00163,0.63775,0.50504,0.53305,0.35576,1.30591,0.99345,0.00247,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,24171.5,1.39899,0.88795,0.00166,0.63713,0.50422,0.52976,0.3527,1.30906,0.99535,0.00247,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,24450.7,1.39518,0.88978,0.00164,0.62633,0.51447,0.52969,0.35266,1.31089,0.99592,0.00248,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
